district,crop,quantity(MT)
Vellore,Snake Gourd,0.01
Vellore,Sorghum,1.14
Vellore,Sorghum Sudan Grass,24.81
Vellore,Sunflower,0.05
Vellore,Sweet Corn,0.02
Vellore,Sweet Sorghum,0
Vellore,Tinda,0.03
Vellore,Tomato,0.04
Vellore,Unnamed: 69,0
Vellore,Unnamed: 74,0
Vellore,Water Melon,0.02
Vellore,Wax Gourd,0
Vellore,Wax Gourd.1,0
Vellore,Yard Long Beans,0
Vellore,Yellow Squash,0
Villupuram,Ash Gourd,0
Villupuram,Bhendi,0.45
Villupuram,Bitter Gourd,0.03
Villupuram,Blackgram,14.67
Villupuram,Bottlegourd,0.01
Villupuram,Brinjal,0
Villupuram,Capsicum,0
Villupuram,Chillies,0.09
Villupuram,Clusterbeans,0
Villupuram,Coriander,0
Villupuram,Cotton,0.36
Villupuram,Cowpea,0
Villupuram,Cucumber,0.01
Villupuram,Cumbu,3.1
Villupuram,Greengram,0
Villupuram,Greens,1.1
Villupuram,Groundnut,2
Villupuram,Maize,7.65
Villupuram,Other Vegetables,0.02
Villupuram,Paddy,245.42
Villupuram,Pumpkin,0.01
Villupuram,Radish,0.06
Villupuram,Ragi,0
Villupuram,Redgram,0
Villupuram,Ridgegourd,0.01
Villupuram,Sesamum,1.12
Villupuram,Snake Gourd,0.06
Villupuram,Sorghum,1.98
Villupuram,Sorghum Sudan Grass,0.02
Villupuram,Sunflower,0
Villupuram,Tinda,0
Villupuram,Tomato,0
Villupuram,Water Melon,0.16
Virudhunagar,Ash Gourd,0.01
Virudhunagar,Beans,0.08
Virudhunagar,Beetroot,0
Virudhunagar,Bengalgram,0
Virudhunagar,Bhendi,4.39
Virudhunagar,Bitter Gourd,3.09
Virudhunagar,Blackgram,15.82
Virudhunagar,Blockgram,0.04
Virudhunagar,Bottlegourd,0.61
Virudhunagar,Brinjal,0.37
Virudhunagar,Caster,0.01
Virudhunagar,Chillies,0.77
Virudhunagar,Clusterbeans,5.64
Virudhunagar,Coriander,0.16
Virudhunagar,Cotton,4.16
Virudhunagar,Cowpea,2.08
Virudhunagar,Cowpea.1,0.08
Virudhunagar,Cucumber,0
Virudhunagar,Cumbu,0.67
Virudhunagar,Dolichos,0.04
Virudhunagar,Greengram,8.75
Virudhunagar,Greens,2.24
Virudhunagar,Groundnut,0.67
Virudhunagar,Kudiraivali,0.44
Virudhunagar,Kuthiraivali,0
Virudhunagar,Maize,24.85
Virudhunagar,Melon,0
Virudhunagar,Moringa,1.83
Virudhunagar,Onion,0.05
Virudhunagar,Other Vegetables,0.5
Virudhunagar,Paddy,66.02
Virudhunagar,Palak,0.02
Virudhunagar,Peas,0.03
Virudhunagar,Pumpkin,0
Virudhunagar,Radish,0
Virudhunagar,Ragi,0
Virudhunagar,Redgram,0
Virudhunagar,Ridgegourd,2.82
Virudhunagar,Sesamum,0.11
Virudhunagar,Snake Gourd,0.94
Virudhunagar,Sorghum,2.77
Virudhunagar,Sorghum Sudan Grass,0.81
Virudhunagar,Sunflower,0.79
Virudhunagar,Tomato,1.58
Virudhunagar,Water Melon,0.07
