district,crop,variety,seed_class,quantity,quantity_unit,source_date
Kancheepuram,To be joined,CO 51,Not specified,20.36,MT,2026-09-16
Karur,To be joined,CO 51,Not specified,3.51,MT,2026-09-16
Krishnagiri,To be joined,CO 51,Not specified,52.27,MT,2026-09-16
Madurai,To be joined,CO 51,Not specified,6.86,MT,2026-09-16
Nagapattinam,To be joined,CO 51,Not specified,28.85,MT,2026-09-16
Namakkal,To be joined,CO 51,Not specified,0.0,MT,2026-09-16
Pudukkottai,To be joined,CO 51,Not specified,0.0,MT,2026-09-16
Ramanathapuram,To be joined,CO 51,Not specified,0.0,MT,2026-09-16
Salem,To be joined,CO 51,Not specified,26.49,MT,2026-09-16
Sivagangai,To be joined,CO 51,Not specified,56.79,MT,2026-09-16
Thanjavur,To be joined,CO 51,Not specified,115.6,MT,2026-09-16
Theni,To be joined,CO 51,Not specified,0.0,MT,2026-09-16
Thirunelveli,To be joined,CO 51,Not specified,2.04,MT,2026-09-16
Thiruvallur,To be joined,CO 51,Not specified,0.0,MT,2026-09-16
Thiruvarur,To be joined,CO 51,Not specified,80.36,MT,2026-09-16
Thoothukudi,To be joined,CO 51,Not specified,16.4,MT,2026-09-16
Tiruppur,To be joined,CO 51,Not specified,41.94,MT,2026-09-16
Tiruvannamalai,To be joined,CO 51,Not specified,12.95,MT,2026-09-16
Trichy,To be joined,CO 51,Not specified,2.0,MT,2026-09-16
Vellore,To be joined,CO 51,Not specified,8.09,MT,2026-09-16
Villupuram,To be joined,CO 51,Not specified,3.96,MT,2026-09-16
Ariyalur,To be joined,CO (R) 51,Not specified,0.63,MT,2026-09-16
Coimbatore,To be joined,CO (R) 51,Not specified,0.0,MT,2026-09-16
Cuddalore,To be joined,CO (R) 51,Not specified,18.28,MT,2026-09-16
Dindigul,To be joined,CO (R) 51,Not specified,0.3,MT,2026-09-16
Erode,To be joined,CO (R) 51,Not specified,1.82,MT,2026-09-16
Kancheepuram,To be joined,CO (R) 51,Not specified,89.14,MT,2026-09-16
Karur,To be joined,CO (R) 51,Not specified,2.49,MT,2026-09-16
Madurai,To be joined,CO (R) 51,Not specified,20.49,MT,2026-09-16
Nagapattinam,To be joined,CO (R) 51,Not specified,78.95,MT,2026-09-16
Namakkal,To be joined,CO (R) 51,Not specified,34.59,MT,2026-09-16
Perambalur,To be joined,CO (R) 51,Not specified,1.65,MT,2026-09-16
Pudukkottai,To be joined,CO (R) 51,Not specified,0.0,MT,2026-09-16
Ramanathapuram,To be joined,CO (R) 51,Not specified,0.0,MT,2026-09-16
Salem,To be joined,CO (R) 51,Not specified,10.45,MT,2026-09-16
Sivagangai,To be joined,CO (R) 51,Not specified,1.04,MT,2026-09-16
Thanjavur,To be joined,CO (R) 51,Not specified,125.85,MT,2026-09-16
Theni,To be joined,CO (R) 51,Not specified,0.0,MT,2026-09-16
Thirunelveli,To be joined,CO (R) 51,Not specified,1.5,MT,2026-09-16
Thiruvallur,To be joined,CO (R) 51,Not specified,21.31,MT,2026-09-16
Thiruvarur,To be joined,CO (R) 51,Not specified,69.78,MT,2026-09-16
Thoothukudi,To be joined,CO (R) 51,Not specified,6.87,MT,2026-09-16
Tiruppur,To be joined,CO (R) 51,Not specified,675.36,MT,2026-09-16
Tiruvannamalai,To be joined,CO (R) 51,Not specified,72.11,MT,2026-09-16
Trichy,To be joined,CO (R) 51,Not specified,0.12,MT,2026-09-16
Vellore,To be joined,CO (R) 51,Not specified,28.91,MT,2026-09-16
Villupuram,To be joined,CO (R) 51,Not specified,31.44,MT,2026-09-16
Ariyalur,To be joined,CO 43,Not specified,1.88,MT,2026-09-16
Cuddalore,To be joined,CO 43,Not specified,4.0,MT,2026-09-16
Dindigul,To be joined,CO 43,Not specified,0.0,MT,2026-09-16
Kancheepuram,To be joined,CO 43,Not specified,0.12,MT,2026-09-16
Nagapattinam,To be joined,CO 43,Not specified,0.0,MT,2026-09-16
Perambalur,To be joined,CO 43,Not specified,0.0,MT,2026-09-16
Ramanathapuram,To be joined,CO 43,Not specified,0.0,MT,2026-09-16
Sivagangai,To be joined,CO 43,Not specified,0.0,MT,2026-09-16
Thanjavur,To be joined,CO 43,Not specified,6.0,MT,2026-09-16
Thiruvallur,To be joined,CO 43,Not specified,0.0,MT,2026-09-16
Thiruvarur,To be joined,CO 43,Not specified,3.64,MT,2026-09-16
Tiruppur,To be joined,CO 43,Not specified,35.95,MT,2026-09-16
Tiruvannamalai,To be joined,CO 43,Not specified,0.0,MT,2026-09-16
Trichy,To be joined,CO 43,Not specified,3.09,MT,2026-09-16
Villupuram,To be joined,CO 43,Not specified,5.24,MT,2026-09-16
Ariyalur,To be joined,CO 47,Not specified,0.09,MT,2026-09-16
Cuddalore,To be joined,CO 47,Not specified,0.0,MT,2026-09-16
Kancheepuram,To be joined,CO 47,Not specified,0.0,MT,2026-09-16
Namakkal,To be joined,CO 47,Not specified,0.0,MT,2026-09-16
Thanjavur,To be joined,CO 47,Not specified,0.0,MT,2026-09-16
Thiruvallur,To be joined,CO 47,Not specified,0.0,MT,2026-09-16
Thiruvarur,To be joined,CO 47,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,CO 47,Not specified,0.0,MT,2026-09-16
Ariyalur,To be joined,CO 48,Not specified,0.85,MT,2026-09-16
Kancheepuram,To be joined,CO 48,Not specified,0.0,MT,2026-09-16
Namakkal,To be joined,CO 48,Not specified,0.0,MT,2026-09-16
Thanjavur,To be joined,CO 48,Not specified,0.0,MT,2026-09-16
Thiruvallur,To be joined,CO 48,Not specified,0.0,MT,2026-09-16
Thiruvarur,To be joined,CO 48,Not specified,1.23,MT,2026-09-16
Thoothukudi,To be joined,CO 48,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,CO 48,Not specified,0.0,MT,2026-09-16
Ariyalur,To be joined,CO R 51,Not specified,0.03,MT,2026-09-16
Cuddalore,To be joined,CO R 51,Not specified,8.4,MT,2026-09-16
Kancheepuram,To be joined,CO R 51,Not specified,9.03,MT,2026-09-16
Madurai,To be joined,CO R 51,Not specified,2.31,MT,2026-09-16
Nagapattinam,To be joined,CO R 51,Not specified,1.67,MT,2026-09-16
Namakkal,To be joined,CO R 51,Not specified,0.12,MT,2026-09-16
Salem,To be joined,CO R 51,Not specified,2.15,MT,2026-09-16
Thanjavur,To be joined,CO R 51,Not specified,12.53,MT,2026-09-16
Thiruvallur,To be joined,CO R 51,Not specified,2.61,MT,2026-09-16
Thiruvarur,To be joined,CO R 51,Not specified,13.83,MT,2026-09-16
Thoothukudi,To be joined,CO R 51,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,CO R 51,Not specified,15.0,MT,2026-09-16
Tiruvannamalai,To be joined,CO R 51,Not specified,5.4,MT,2026-09-16
Trichy,To be joined,CO R 51,Not specified,0.0,MT,2026-09-16
Vellore,To be joined,CO R 51,Not specified,4.84,MT,2026-09-16
Ariyalur,To be joined,CO(R ) 50,Not specified,14.46,MT,2026-09-16
Erode,To be joined,CO(R ) 50,Not specified,0.52,MT,2026-09-16
Kancheepuram,To be joined,CO(R ) 50,Not specified,0.0,MT,2026-09-16
Karur,To be joined,CO(R ) 50,Not specified,0.0,MT,2026-09-16
Krishnagiri,To be joined,CO(R ) 50,Not specified,0.0,MT,2026-09-16
Madurai,To be joined,CO(R ) 50,Not specified,0.0,MT,2026-09-16
Nagapattinam,To be joined,CO(R ) 50,Not specified,8.0,MT,2026-09-16
Perambalur,To be joined,CO(R ) 50,Not specified,1.7,MT,2026-09-16
Salem,To be joined,CO(R ) 50,Not specified,8.74,MT,2026-09-16
Sivagangai,To be joined,CO(R ) 50,Not specified,2.62,MT,2026-09-16
Thanjavur,To be joined,CO(R ) 50,Not specified,119.84,MT,2026-09-16
Thirunelveli,To be joined,CO(R ) 50,Not specified,0.0,MT,2026-09-16
Thiruvarur,To be joined,CO(R ) 50,Not specified,38.8,MT,2026-09-16
Thoothukudi,To be joined,CO(R ) 50,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,CO(R ) 50,Not specified,230.12,MT,2026-09-16
Trichy,To be joined,CO(R ) 50,Not specified,5.01,MT,2026-09-16
Villupuram,To be joined,CO(R ) 50,Not specified,2.8,MT,2026-09-16
Ariyalur,To be joined,CO(R ) 49,Not specified,0.0,MT,2026-09-16
Erode,To be joined,CO(R ) 49,Not specified,0.0,MT,2026-09-16
Kancheepuram,To be joined,CO(R ) 49,Not specified,0.0,MT,2026-09-16
Ramanathapuram,To be joined,CO(R ) 49,Not specified,0.0,MT,2026-09-16
Sivagangai,To be joined,CO(R ) 49,Not specified,15.1,MT,2026-09-16
Thanjavur,To be joined,CO(R ) 49,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,CO(R ) 49,Not specified,0.0,MT,2026-09-16
Salem,To be joined,CO(R)50,Not specified,0.1,MT,2026-09-16
Thiruvarur,To be joined,CO(R)50,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,CO(R)50,Not specified,0.0,MT,2026-09-16
Coimbatore,To be joined,CO(R)51,Not specified,0.2,MT,2026-09-16
Kancheepuram,To be joined,CO(R)51,Not specified,0.39,MT,2026-09-16
Nagapattinam,To be joined,CO(R)51,Not specified,0.0,MT,2026-09-16
Salem,To be joined,CO(R)51,Not specified,0.08,MT,2026-09-16
Thanjavur,To be joined,CO(R)51,Not specified,0.0,MT,2026-09-16
Thiruvarur,To be joined,CO(R)51,Not specified,1.5,MT,2026-09-16
Tiruppur,To be joined,CO(R)51,Not specified,0.2,MT,2026-09-16
Ariyalur,To be joined,CR 1009,Not specified,18.16,MT,2026-09-16
Chennai,To be joined,CR 1009,Not specified,0.0,MT,2026-09-16
Coimbatore,To be joined,CR 1009,Not specified,0.0,MT,2026-09-16
Cuddalore,To be joined,CR 1009,Not specified,214.86,MT,2026-09-16
Dindigul,To be joined,CR 1009,Not specified,0.05,MT,2026-09-16
Erode,To be joined,CR 1009,Not specified,0.15,MT,2026-09-16
Kancheepuram,To be joined,CR 1009,Not specified,0.0,MT,2026-09-16
Kanyakumari,To be joined,CR 1009,Not specified,0.0,MT,2026-09-16
Krishnagiri,To be joined,CR 1009,Not specified,0.0,MT,2026-09-16
Madurai,To be joined,CR 1009,Not specified,6.9,MT,2026-09-16
Nagapattinam,To be joined,CR 1009,Not specified,160.5,MT,2026-09-16
Namakkal,To be joined,CR 1009,Not specified,42.25,MT,2026-09-16
Perambalur,To be joined,CR 1009,Not specified,0.0,MT,2026-09-16
Pudukkottai,To be joined,CR 1009,Not specified,0.0,MT,2026-09-16
Thanjavur,To be joined,CR 1009,Not specified,343.07,MT,2026-09-16
Thirunelveli,To be joined,CR 1009,Not specified,0.0,MT,2026-09-16
Thiruvallur,To be joined,CR 1009,Not specified,2.61,MT,2026-09-16
Thiruvarur,To be joined,CR 1009,Not specified,399.75,MT,2026-09-16
Thoothukudi,To be joined,CR 1009,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,CR 1009,Not specified,116.81,MT,2026-09-16
Trichy,To be joined,CR 1009,Not specified,5.46,MT,2026-09-16
Vellore,To be joined,CR 1009,Not specified,0.0,MT,2026-09-16
Villupuram,To be joined,CR 1009,Not specified,20.81,MT,2026-09-16
Ariyalur,To be joined,CR-Subi,Not specified,0.0,MT,2026-09-16
Krishnagiri,To be joined,CR-Subi,Not specified,0.0,MT,2026-09-16
Nagapattinam,To be joined,CR-Subi,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,CR-Subi,Not specified,0.0,MT,2026-09-16
Madurai,To be joined,Daftari 100,Not specified,0.0,MT,2026-09-16
Madurai,To be joined,Daftari 30,Not specified,0.0,MT,2026-09-16
Ariyalur,To be joined,Daftari Shree 1008,Not specified,0.0,MT,2026-09-16
Dharmapuri,To be joined,Daftari Shree 1008,Not specified,0.25,MT,2026-09-16
Karur,To be joined,Daftari Shree 1008,Not specified,0.25,MT,2026-09-16
Krishnagiri,To be joined,Daftari Shree 1008,Not specified,0.25,MT,2026-09-16
Madurai,To be joined,Daftari Shree 1008,Not specified,0.0,MT,2026-09-16
Nagapattinam,To be joined,Daftari Shree 1008,Not specified,0.0,MT,2026-09-16
Virudhunagar,To be joined,Daftari Shree 1008,Not specified,0.0,MT,2026-09-16
Ariyalur,To be joined,Dhanista,Not specified,2.4,MT,2026-09-16
Dharmapuri,To be joined,Dhanista,Not specified,4.8,MT,2026-09-16
Krishnagiri,To be joined,Dhanista,Not specified,4.14,MT,2026-09-16
Namakkal,To be joined,Dhanista,Not specified,0.15,MT,2026-09-16
Salem,To be joined,Dhanista,Not specified,2.96,MT,2026-09-16
Thirunelveli,To be joined,Dhanista,Not specified,0.0,MT,2026-09-16
Tiruvannamalai,To be joined,Dhanista,Not specified,0.0,MT,2026-09-16
Trichy,To be joined,Dhanista,Not specified,0.38,MT,2026-09-16
Vellore,To be joined,Dhanista,Not specified,0.0,MT,2026-09-16
Virudhunagar,To be joined,Dhanista,Not specified,0.0,MT,2026-09-16
Madurai,To be joined,EKTA,Not specified,0.0,MT,2026-09-16
Thirunelveli,To be joined,EKTA,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,EKTA,Not specified,0.0,MT,2026-09-16
Ariyalur,To be joined,Goraknath 509,Not specified,0.0,MT,2026-09-16
Coimbatore,To be joined,Goraknath 509,Not specified,6.8,MT,2026-09-16
Dindigul,To be joined,Goraknath 509,Not specified,0.0,MT,2026-09-16
Karur,To be joined,Goraknath 509,Not specified,0.0,MT,2026-09-16
Krishnagiri,To be joined,Goraknath 509,Not specified,0.0,MT,2026-09-16
Nagapattinam,To be joined,Goraknath 509,Not specified,0.0,MT,2026-09-16
Salem,To be joined,Goraknath 509,Not specified,0.0,MT,2026-09-16
Theni,To be joined,Goraknath 509,Not specified,0.0,MT,2026-09-16
Thiruvarur,To be joined,Goraknath 509,Not specified,0.0,MT,2026-09-16
Thoothukudi,To be joined,Goraknath 509,Not specified,0.0,MT,2026-09-16
Tiruvannamalai,To be joined,Goraknath 509,Not specified,0.0,MT,2026-09-16
Vellore,To be joined,Goraknath 509,Not specified,0.05,MT,2026-09-16
Ariyalur,To be joined,IR 20,Not specified,2.73,MT,2026-09-16
Coimbatore,To be joined,IR 20,Not specified,20.04,MT,2026-09-16
Cuddalore,To be joined,IR 20,Not specified,3.84,MT,2026-09-16
Dharmapuri,To be joined,IR 20,Not specified,0.0,MT,2026-09-16
Dindigul,To be joined,IR 20,Not specified,0.0,MT,2026-09-16
Erode,To be joined,IR 20,Not specified,0.0,MT,2026-09-16
Kancheepuram,To be joined,IR 20,Not specified,0.0,MT,2026-09-16
Karur,To be joined,IR 20,Not specified,3.0,MT,2026-09-16
Krishnagiri,To be joined,IR 20,Not specified,3.0,MT,2026-09-16
Madurai,To be joined,IR 20,Not specified,2.22,MT,2026-09-16
Nagapattinam,To be joined,IR 20,Not specified,5.01,MT,2026-09-16
Namakkal,To be joined,IR 20,Not specified,17.58,MT,2026-09-16
Perambalur,To be joined,IR 20,Not specified,0.0,MT,2026-09-16
Ramanathapuram,To be joined,IR 20,Not specified,0.0,MT,2026-09-16
Salem,To be joined,IR 20,Not specified,0.42,MT,2026-09-16
Sivagangai,To be joined,IR 20,Not specified,0.0,MT,2026-09-16
Thanjavur,To be joined,IR 20,Not specified,23.87,MT,2026-09-16
Theni,To be joined,IR 20,Not specified,0.02,MT,2026-09-16
Thirunelveli,To be joined,IR 20,Not specified,0.0,MT,2026-09-16
Thiruvallur,To be joined,IR 20,Not specified,0.4,MT,2026-09-16
Thiruvarur,To be joined,IR 20,Not specified,15.19,MT,2026-09-16
Tiruppur,To be joined,IR 20,Not specified,10.43,MT,2026-09-16
Trichy,To be joined,IR 20,Not specified,11.82,MT,2026-09-16
Villupuram,To be joined,IR 20,Not specified,0.0,MT,2026-09-16
Virudhunagar,To be joined,IR 20,Not specified,0.0,MT,2026-09-16
Ariyalur,To be joined,IR 36,Not specified,0.0,MT,2026-09-16
Cuddalore,To be joined,IR 36,Not specified,0.0,MT,2026-09-16
Kancheepuram,To be joined,IR 36,Not specified,0.0,MT,2026-09-16
Madurai,To be joined,IR 36,Not specified,4.98,MT,2026-09-16
Nagapattinam,To be joined,IR 36,Not specified,0.0,MT,2026-09-16
Namakkal,To be joined,IR 36,Not specified,0.0,MT,2026-09-16
Ramanathapuram,To be joined,IR 36,Not specified,0.0,MT,2026-09-16
Sivagangai,To be joined,IR 36,Not specified,0.0,MT,2026-09-16
Thanjavur,To be joined,IR 36,Not specified,0.0,MT,2026-09-16
Thirunelveli,To be joined,IR 36,Not specified,0.0,MT,2026-09-16
Thiruvarur,To be joined,IR 36,Not specified,0.0,MT,2026-09-16
Thoothukudi,To be joined,IR 36,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,IR 36,Not specified,0.0,MT,2026-09-16
Virudhunagar,To be joined,IR 36,Not specified,0.0,MT,2026-09-16
Ariyalur,To be joined,IR 64,Not specified,0.0,MT,2026-09-16
Kancheepuram,To be joined,IR 64,Not specified,0.0,MT,2026-09-16
Madurai,To be joined,IR 64,Not specified,11.06,MT,2026-09-16
Namakkal,To be joined,IR 64,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,IR 64,Not specified,0.0,MT,2026-09-16
Virudhunagar,To be joined,IR 64,Not specified,0.0,MT,2026-09-16
Kancheepuram,To be joined,IR.66,Not specified,0.0,MT,2026-09-16
Nagapattinam,To be joined,IR.66,Not specified,0.0,MT,2026-09-16
Namakkal,To be joined,IR.66,Not specified,0.0,MT,2026-09-16
Thanjavur,To be joined,IR.66,Not specified,0.0,MT,2026-09-16
Thirunelveli,To be joined,IR.66,Not specified,0.0,MT,2026-09-16
Thiruvallur,To be joined,IR.66,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,IR.66,Not specified,0.0,MT,2026-09-16
Ariyalur,To be joined,IR20,Not specified,1.53,MT,2026-09-16
Erode,To be joined,IR20,Not specified,0.0,MT,2026-09-16
Namakkal,To be joined,IR20,Not specified,0.82,MT,2026-09-16
Salem,To be joined,IR20,Not specified,1.32,MT,2026-09-16
Thanjavur,To be joined,IR20,Not specified,3.0,MT,2026-09-16
Thirunelveli,To be joined,IR20,Not specified,0.0,MT,2026-09-16
Trichy,To be joined,IR20,Not specified,0.0,MT,2026-09-16
Dharmapuri,To be joined,Iswarya,Not specified,0.31,MT,2026-09-16
Krishnagiri,To be joined,Iswarya,Not specified,0.24,MT,2026-09-16
Salem,To be joined,Iswarya,Not specified,0.0,MT,2026-09-16
Thirunelveli,To be joined,Iswarya,Not specified,0.0,MT,2026-09-16
Trichy,To be joined,Iswarya,Not specified,4.4,MT,2026-09-16
Virudhunagar,To be joined,Iswarya,Not specified,0.0,MT,2026-09-16
Dharmapuri,To be joined,IW PONNI,Not specified,1.32,MT,2026-09-16
Krishnagiri,To be joined,IW PONNI,Not specified,1.05,MT,2026-09-16
Thiruvarur,To be joined,IW PONNI,Not specified,75.0,MT,2026-09-16
Villupuram,To be joined,IW PONNI,Not specified,7.65,MT,2026-09-16
Coimbatore,To be joined,IWP,Not specified,0.0,MT,2026-09-16
Cuddalore,To be joined,IWP,Not specified,14.46,MT,2026-09-16
Dharmapuri,To be joined,IWP,Not specified,0.28,MT,2026-09-16
Erode,To be joined,IWP,Not specified,0.0,MT,2026-09-16
Kancheepuram,To be joined,IWP,Not specified,4.0,MT,2026-09-16
Krishnagiri,To be joined,IWP,Not specified,0.0,MT,2026-09-16
Madurai,To be joined,IWP,Not specified,0.0,MT,2026-09-16
Nagapattinam,To be joined,IWP,Not specified,0.0,MT,2026-09-16
Namakkal,To be joined,IWP,Not specified,0.12,MT,2026-09-16
Pudukkottai,To be joined,IWP,Not specified,0.0,MT,2026-09-16
Salem,To be joined,IWP,Not specified,13.83,MT,2026-09-16
Thiruvallur,To be joined,IWP,Not specified,0.0,MT,2026-09-16
Thiruvarur,To be joined,IWP,Not specified,2.5,MT,2026-09-16
Tiruppur,To be joined,IWP,Not specified,0.0,MT,2026-09-16
Tiruvannamalai,To be joined,IWP,Not specified,0.0,MT,2026-09-16
Trichy,To be joined,IWP,Not specified,0.0,MT,2026-09-16
Vellore,To be joined,IWP,Not specified,0.0,MT,2026-09-16
Villupuram,To be joined,IWP,Not specified,3.76,MT,2026-09-16
Krishnagiri,To be joined,Jai Ganesh,Not specified,0.2,MT,2026-09-16
Madurai,To be joined,Jai Ganesh,Not specified,1.84,MT,2026-09-16
Salem,To be joined,Jai Ganesh,Not specified,0.0,MT,2026-09-16
Theni,To be joined,Jai Ganesh,Not specified,0.01,MT,2026-09-16
Trichy,To be joined,Jayanthi,Not specified,5.08,MT,2026-09-16
Ariyalur,To be joined,JGL 1798,Not specified,0.2,MT,2026-09-16
Cuddalore,To be joined,JGL 1798,Not specified,13.95,MT,2026-09-16
Erode,To be joined,JGL 1798,Not specified,0.0,MT,2026-09-16
Madurai,To be joined,JGL 1798,Not specified,31.11,MT,2026-09-16
Nagapattinam,To be joined,JGL 1798,Not specified,0.0,MT,2026-09-16
Namakkal,To be joined,JGL 1798,Not specified,0.0,MT,2026-09-16
Pudukkottai,To be joined,JGL 1798,Not specified,0.0,MT,2026-09-16
Ramanathapuram,To be joined,JGL 1798,Not specified,0.0,MT,2026-09-16
Salem,To be joined,JGL 1798,Not specified,0.0,MT,2026-09-16
Sivagangai,To be joined,JGL 1798,Not specified,26.38,MT,2026-09-16
Thirunelveli,To be joined,JGL 1798,Not specified,14.8,MT,2026-09-16
Thiruvallur,To be joined,JGL 1798,Not specified,6.0,MT,2026-09-16
Thiruvarur,To be joined,JGL 1798,Not specified,0.0,MT,2026-09-16
Thoothukudi,To be joined,JGL 1798,Not specified,7.74,MT,2026-09-16
Tiruppur,To be joined,JGL 1798,Not specified,0.0,MT,2026-09-16
Trichy,To be joined,JGL 1798,Not specified,8.22,MT,2026-09-16
Virudhunagar,To be joined,JGL 1798,Not specified,21.37,MT,2026-09-16
Coimbatore,To be joined,Jyothi,Not specified,0.0,MT,2026-09-16
Madurai,To be joined,Jyothi,Not specified,12.27,MT,2026-09-16
Ramanathapuram,To be joined,Jyothi,Not specified,0.0,MT,2026-09-16
Sivagangai,To be joined,Jyothi,Not specified,0.0,MT,2026-09-16
Thanjavur,To be joined,Jyothi,Not specified,0.0,MT,2026-09-16
Thirunelveli,To be joined,Jyothi,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,Jyothi,Not specified,0.0,MT,2026-09-16
Ariyalur,To be joined,Jyothika,Not specified,0.0,MT,2026-09-16
Dharmapuri,To be joined,Jyothika,Not specified,0.06,MT,2026-09-16
Madurai,To be joined,Jyothika,Not specified,0.0,MT,2026-09-16
Nagapattinam,To be joined,Jyothika,Not specified,0.0,MT,2026-09-16
Thirunelveli,To be joined,Jyothika,Not specified,0.0,MT,2026-09-16
Thiruvallur,To be joined,Jyothika,Not specified,0.0,MT,2026-09-16
Tiruvannamalai,To be joined,Jyothika,Not specified,0.0,MT,2026-09-16
Vellore,To be joined,Jyothika,Not specified,0.0,MT,2026-09-16
Dharmapuri,To be joined,Kareena,Not specified,0.19,MT,2026-09-16
Salem,To be joined,Kareena,Not specified,0.0,MT,2026-09-16
Theni,To be joined,Kareena,Not specified,0.15,MT,2026-09-16
Krishnagiri,To be joined,Karina,Not specified,0.02,MT,2026-09-16
Namakkal,To be joined,Karina,Not specified,0.0,MT,2026-09-16
Tiruvannamalai,To be joined,Karina,Not specified,0.0,MT,2026-09-16
Trichy,To be joined,Karina,Not specified,0.0,MT,2026-09-16
Thirunelveli,To be joined,Komal,Not specified,10.0,MT,2026-09-16
Thoothukudi,To be joined,Komal,Not specified,0.0,MT,2026-09-16
Trichy,To be joined,Komal,Not specified,0.0,MT,2026-09-16
Vellore,To be joined,Komal,Not specified,0.05,MT,2026-09-16
Dharmapuri,To be joined,Krishna Jayanthi,Not specified,0.01,MT,2026-09-16
Krishnagiri,To be joined,Krishna Jayanthi,Not specified,0.5,MT,2026-09-16
Tiruvannamalai,To be joined,Krishna Jayanthi,Not specified,0.0,MT,2026-09-16
Trichy,To be joined,Krishna Jayanthi,Not specified,4.44,MT,2026-09-16
Ariyalur,To be joined,MDU 5,Not specified,0.0,MT,2026-09-16
Thanjavur,To be joined,MDU 5,Not specified,3.0,MT,2026-09-16
Thiruvallur,To be joined,MDU 5,Not specified,18.27,MT,2026-09-16
Tiruppur,To be joined,MDU 5,Not specified,0.0,MT,2026-09-16
Virudhunagar,To be joined,MDU 5,Not specified,0.0,MT,2026-09-16
Dharmapuri,To be joined,Meenakshi,Not specified,0.39,MT,2026-09-16
Krishnagiri,To be joined,Meenakshi,Not specified,11.66,MT,2026-09-16
Madurai,To be joined,Meenakshi,Not specified,0.0,MT,2026-09-16
Thirunelveli,To be joined,Meenakshi,Not specified,0.0,MT,2026-09-16
Vellore,To be joined,Meenakshi,Not specified,0.3,MT,2026-09-16
Virudhunagar,To be joined,Meenakshi,Not specified,0.25,MT,2026-09-16
Ariyalur,To be joined,MPR 606,Not specified,0.08,MT,2026-09-16
Kancheepuram,To be joined,MPR 606,Not specified,0.01,MT,2026-09-16
Madurai,To be joined,MPR 606,Not specified,0.28,MT,2026-09-16
Thirunelveli,To be joined,MPR 606,Not specified,0.0,MT,2026-09-16
Thiruvallur,To be joined,MPR 606,Not specified,4.0,MT,2026-09-16
Tiruvannamalai,To be joined,MPR 606,Not specified,0.42,MT,2026-09-16
Vellore,To be joined,MPR 606,Not specified,0.0,MT,2026-09-16
Villupuram,To be joined,MPR 606,Not specified,0.38,MT,2026-09-16
Virudhunagar,To be joined,MPR 606,Not specified,0.0,MT,2026-09-16
Krishnagiri,To be joined,MRP5407,Not specified,0.2,MT,2026-09-16
Erode,To be joined,MRP5491,Not specified,0.32,MT,2026-09-16
Krishnagiri,To be joined,MRP5491,Not specified,0.0,MT,2026-09-16
Thirunelveli,To be joined,MRP5491,Not specified,0.0,MT,2026-09-16
Vellore,To be joined,MRP5491,Not specified,7.26,MT,2026-09-16
Krishnagiri,To be joined,MRP5629,Not specified,0.01,MT,2026-09-16
Kancheepuram,To be joined,MTU 1010,Not specified,1.02,MT,2026-09-16
Thiruvallur,To be joined,MTU 1010,Not specified,68.58,MT,2026-09-16
Tiruppur,To be joined,MTU 1010,Not specified,0.0,MT,2026-09-16
Madurai,To be joined,MTU 7029,Not specified,0.0,MT,2026-09-16
Nagapattinam,To be joined,MTU 7029,Not specified,0.0,MT,2026-09-16
Thanjavur,To be joined,MTU 7029,Not specified,10.2,MT,2026-09-16
Thiruvarur,To be joined,MTU 7029,Not specified,0.0,MT,2026-09-16
Tiruppur,To be joined,MTU 7029,Not specified,60.0,MT,2026-09-16
Madurai,To be joined,Naman,Not specified,0.0,MT,2026-09-16
Chennai,To be joined,NLR 34449,Not specified,0.0,MT,2026-09-16
Cuddalore,To be joined,NLR 34449,Not specified,47.8,MT,2026-09-16
Kancheepuram,To be joined,NLR 34449,Not specified,96.27,MT,2026-09-16
Krishnagiri,To be joined,NLR 34449,Not specified,0.0,MT,2026-09-16
Madurai,To be joined,NLR 34449,Not specified,32.17,MT,2026-09-16
Namakkal,To be joined,NLR 34449,Not specified,1.47,MT,2026-09-16
Pudukkottai,To be joined,NLR 34449,Not specified,3.76,MT,2026-09-16
Ramanathapuram,To be joined,NLR 34449,Not specified,0.0,MT,2026-09-16
Salem,To be joined,NLR 34449,Not specified,5.0,MT,2026-09-16
Sivagangai,To be joined,NLR 34449,Not specified,62.92,MT,2026-09-16
Thanjavur,To be joined,NLR 34449,Not specified,109.87,MT,2026-09-16
Theni,To be joined,NLR 34449,Not specified,6.46,MT,2026-09-16
Thirunelveli,To be joined,NLR 34449,Not specified,0.51,MT,2026-09-16
Thiruvallur,To be joined,NLR 34449,Not specified,48.01,MT,2026-09-16
